Women's: 
1. Team  Stanford: Score 16689.5, NCAA appearances 40, Average ranking 2.8
2. Team  Texas: Score 12395.0, NCAA appearances 39, Average ranking 5.7
3. Team  Georgia: Score 10665.5, NCAA appearances 39, Average ranking 6.7
4. Team  Florida: Score 10263.0, NCAA appearances 39, Average ranking 8.1
5. Team  California: Score 10193.5, NCAA appearances 39, Average ranking 6.5
6. Team  Arizona: Score 8727.5, NCAA appearances 40, Average ranking 10.0
7. Team  Southern California: Score 7452.0, NCAA appearances 39, Average ranking 9.1
8. Team  Auburn: Score 7451.5, NCAA appearances 37, Average ranking 11.8
9. Team  Michigan: Score 5293.5, NCAA appearances 39, Average ranking 13.8
10. Team  SMU: Score 4757.5, NCAA appearances 33, Average ranking 14.2
11. Team  Texas A&M: Score 4179.5, NCAA appearances 35, Average ranking 18.3
12. Team  Tennessee: Score 4160.0, NCAA appearances 39, Average ranking 14.9
13. Team  Virginia: Score 4113.5, NCAA appearances 39, Average ranking 16.8
14. Team  UCLA: Score 3735.0, NCAA appearances 39, Average ranking 16.1
15. Team  Indiana: Score 2963.0, NCAA appearances 36, Average ranking 18.2
16. Team  North Carolina: Score 2723.0, NCAA appearances 36, Average ranking 18.6
17. Team  Arizona St: Score 2640.5, NCAA appearances 38, Average ranking 18.4
18. Team  Minnesota: Score 2637.5, NCAA appearances 36, Average ranking 19.2
19. Team  Alabama: Score 2490.5, NCAA appearances 36, Average ranking 21.9
20. Team  Wisconsin: Score 2380.5, NCAA appearances 30, Average ranking 17.6
21. Team  Ohio St: Score 2005.5, NCAA appearances 35, Average ranking 20.9
22. Team  Northwestern: Score 1736.5, NCAA appearances 27, Average ranking 21.2
23. Team  NC State: Score 1610.5, NCAA appearances 18, Average ranking 20.9
24. Team  Miami (FL): Score 1549.5, NCAA appearances 34, Average ranking 22.6
25. Team  Louisville: Score 1548.0, NCAA appearances 14, Average ranking 18.1
26. Team  Kentucky: Score 1430.0, NCAA appearances 27, Average ranking 22.9
27. Team  LSU: Score 1359.0, NCAA appearances 36, Average ranking 24.5
28. Team  Nebraska: Score 1335.5, NCAA appearances 24, Average ranking 24.0
29. Team  South Carolina: Score 1179.5, NCAA appearances 32, Average ranking 24.8
30. Team  Clemson: Score 929.5, NCAA appearances 19, Average ranking 27.8
31. Team  Penn St: Score 913.0, NCAA appearances 33, Average ranking 27.3
32. Team  Missouri: Score 902.0, NCAA appearances 15, Average ranking 22.1
33. Team  Houston: Score 900.0, NCAA appearances 27, Average ranking 25.0
34. Team  Purdue: Score 821.5, NCAA appearances 30, Average ranking 26.9
35. Team  Southern Ill: Score 727.0, NCAA appearances 9, Average ranking 20.6
36. Team  Notre Dame: Score 595.5, NCAA appearances 25, Average ranking 28.7
37. Team  Kansas: Score 585.5, NCAA appearances 21, Average ranking 28.9
38. Team  Arkansas: Score 560.0, NCAA appearances 25, Average ranking 29.2
39. Team  Florida St: Score 509.0, NCAA appearances 24, Average ranking 30.2
40. Team  Cincinnati: Score 494.0, NCAA appearances 19, Average ranking 28.1
41. Team  Virginia Tech: Score 454.5, NCAA appearances 17, Average ranking 27.5
42. Team  Nevada: Score 454.5, NCAA appearances 11, Average ranking 27.5
43. Team  Hawaii: Score 410.0, NCAA appearances 16, Average ranking 28.8
44. Team  BYU: Score 333.5, NCAA appearances 16, Average ranking 31.9
45. Team  Washington: Score 309.0, NCAA appearances 10, Average ranking 27.0
46. Team  Villanova: Score 284.5, NCAA appearances 11, Average ranking 28.7
47. Team  Princeton: Score 266.0, NCAA appearances 16, Average ranking 32.0
48. Team  Iowa: Score 252.0, NCAA appearances 20, Average ranking 33.0
49. Team  Maryland: Score 251.0, NCAA appearances 16, Average ranking 32.2
50. Team  Oregon St: Score 233.5, NCAA appearances 12, Average ranking 31.4
51. Team  Colorado St: Score 224.5, NCAA appearances 7, Average ranking 29.6
52. Team  Michigan St: Score 220.0, NCAA appearances 11, Average ranking 28.2
53. Team  UNC: Score 217.0, NCAA appearances 3, Average ranking 18.7
54. Team  Duke: Score 183.0, NCAA appearances 10, Average ranking 34.9
55. Team  Pittsburgh: Score 178.5, NCAA appearances 15, Average ranking 32.5
56. Team  Pacific: Score 160.0, NCAA appearances 5, Average ranking 25.2
57. Team  UC Santa Barbara: Score 148.0, NCAA appearances 9, Average ranking 31.0
58. Team  Rutgers: Score 147.0, NCAA appearances 13, Average ranking 36.9
59. Team  Columbia: Score 138.0, NCAA appearances 4, Average ranking 22.5
60. Team  Southern Cal: Score 127.0, NCAA appearances 1, Average ranking 12.0
61. Team  UNLV: Score 122.5, NCAA appearances 10, Average ranking 34.6
62. Team  Miami (OH): Score 120.5, NCAA appearances 7, Average ranking 32.4
63. Team  Denver: Score 115.0, NCAA appearances 6, Average ranking 32.3
64. Team  George Mason: Score 112.0, NCAA appearances 5, Average ranking 28.6
65. Team  Brown: Score 110.0, NCAA appearances 6, Average ranking 29.2
66. Team  Harvard: Score 105.0, NCAA appearances 10, Average ranking 35.4
67. Team  Rice: Score 97.0, NCAA appearances 7, Average ranking 31.6
68. Team  Furman: Score 85.0, NCAA appearances 2, Average ranking 18.5
69. Team  Towson: Score 83.0, NCAA appearances 5, Average ranking 34.0
70. Team  Yale: Score 82.5, NCAA appearances 9, Average ranking 33.1
71. Team  Eastern Mich: Score 75.0, NCAA appearances 6, Average ranking 34.8
72. Team  West Virginia: Score 72.5, NCAA appearances 11, Average ranking 36.9
73. Team  FGCU: Score 70.5, NCAA appearances 5, Average ranking 35.6
74. Team  Ohio: Score 68.0, NCAA appearances 4, Average ranking 33.5
75. Team  San Diego St: Score 66.0, NCAA appearances 9, Average ranking 36.0
76. Team  Illinois: Score 66.0, NCAA appearances 9, Average ranking 36.8
77. Team  Fla Atlantic: Score 60.0, NCAA appearances 3, Average ranking 30.0
78. Team  IUPUI: Score 55.0, NCAA appearances 3, Average ranking 29.3
79. Team  Georgia Tech: Score 52.0, NCAA appearances 3, Average ranking 30.3
80. Team  UMBC: Score 50.5, NCAA appearances 3, Average ranking 32.0
81. Team  Penn: Score 44.5, NCAA appearances 1, Average ranking 20.0
82. Team  San Jose St: Score 42.0, NCAA appearances 3, Average ranking 29.7
83. Team  Boston U: Score 42.0, NCAA appearances 3, Average ranking 29.0
84. Team  Western Ky: Score 41.5, NCAA appearances 3, Average ranking 33.0
85. Team  Milwaukee: Score 41.0, NCAA appearances 2, Average ranking 29.0
86. Team  Richmond: Score 39.5, NCAA appearances 5, Average ranking 37.2
87. Team  Utah: Score 37.5, NCAA appearances 4, Average ranking 36.5
88. Team  Wyoming: Score 37.0, NCAA appearances 7, Average ranking 38.1
89. Team  Washington St: Score 36.0, NCAA appearances 5, Average ranking 35.8
90. Team  Tennesse: Score 35.0, NCAA appearances 1, Average ranking 22.0
91. Team  Fresno St: Score 32.0, NCAA appearances 6, Average ranking 38.0
92. Team  American: Score 30.0, NCAA appearances 1, Average ranking 23.0
93. Team  FIU: Score 30.0, NCAA appearances 3, Average ranking 35.0
94. Team  UMass: Score 28.0, NCAA appearances 1, Average ranking 27.0
95. Team  UC Irvine: Score 27.0, NCAA appearances 3, Average ranking 36.0
96. Team  Illinois St: Score 27.0, NCAA appearances 2, Average ranking 37.0
97. Team  PennSt: Score 26.0, NCAA appearances 1, Average ranking 29.0
98. Team  Northern Ariz: Score 22.0, NCAA appearances 1, Average ranking 29.0
99. Team  Toledo: Score 22.0, NCAA appearances 4, Average ranking 39.8
100. Team  Gardner-Webb: Score 22.0, NCAA appearances 2, Average ranking 35.5
101. Team  Massachusetts: Score 20.0, NCAA appearances 2, Average ranking 37.0
102. Team  New Hampshire: Score 17.0, NCAA appearances 1, Average ranking 27.0
103. Team  Boise St: Score 17.0, NCAA appearances 3, Average ranking 40.7
104. Team  Air Force: Score 16.0, NCAA appearances 2, Average ranking 36.5
105. Team  Buffalo: Score 15.0, NCAA appearances 2, Average ranking 39.0
106. Team  Akron: Score 15.0, NCAA appearances 3, Average ranking 38.0
107. Team  New Mexico: Score 14.0, NCAA appearances 3, Average ranking 40.7
108. Team  Drexel: Score 14.0, NCAA appearances 3, Average ranking 42.7
109. Team  Northeastern: Score 13.0, NCAA appearances 4, Average ranking 39.5
110. Team  Utah*: Score 13.0, NCAA appearances 1, Average ranking 30.0
111. Team  Cal St Northridge: Score 12.0, NCAA appearances 1, Average ranking 36.0
112. Team  Ball St: Score 11.0, NCAA appearances 1, Average ranking 32.0
113. Team  Liberty: Score 11.0, NCAA appearances 2, Average ranking 43.5
114. Team  Long Beach St: Score 10.0, NCAA appearances 3, Average ranking 35.0
115. Team  Navy: Score 9.0, NCAA appearances 4, Average ranking 38.8
116. Team  UConn: Score 9.0, NCAA appearances 3, Average ranking 41.3
117. Team  Houston 9: Score 9.0, NCAA appearances 1, Average ranking 30.0
118. Team  Old Dominion: Score 7.0, NCAA appearances 2, Average ranking 27.5
119. Team  Clarion Maryl.5: Score 6.0, NCAA appearances 1, Average ranking 36.0
120. Team  Vanderbilt: Score 6.0, NCAA appearances 1, Average ranking 35.0
121. Team  Bowling Green: Score 6.0, NCAA appearances 3, Average ranking 41.0
122. Team  San Diego: Score 6.0, NCAA appearances 1, Average ranking 38.0
